"longitude" "latitude"
"846" -53.5 -21.5
"847" -52.5 -21.5
"848" -53.5 -20.5
"849" -52.5 -20.5
"850" -51.5 -23.5
"851" -50.5 -23.5
"852" -51.5 -22.5
"853" -50.5 -22.5
"854" -49.5 -23.5
"855" -48.5 -23.5
"856" -49.5 -22.5
"857" -48.5 -22.5
"858" -51.5 -21.5
"859" -50.5 -21.5
"860" -51.5 -20.5
"861" -50.5 -20.5
"862" -49.5 -21.5
"863" -48.5 -21.5
"864" -49.5 -20.5
"865" -48.5 -20.5
"866" -55.5 -19.5
"867" -54.5 -19.5
"868" -55.5 -18.5
"869" -54.5 -18.5
"870" -53.5 -19.5
"871" -52.5 -19.5
"872" -53.5 -18.5
"873" -52.5 -18.5
"874" -55.5 -17.5
"875" -54.5 -17.5
"876" -55.5 -16.5
"877" -54.5 -16.5
"878" -53.5 -17.5
"879" -52.5 -17.5
"880" -53.5 -16.5
"881" -52.5 -16.5
"882" -51.5 -19.5
"883" -50.5 -19.5
"884" -51.5 -18.5
"885" -50.5 -18.5
"886" -49.5 -19.5
"887" -48.5 -19.5
"888" -49.5 -18.5
"889" -48.5 -18.5
"890" -51.5 -17.5
"891" -50.5 -17.5
"892" -51.5 -16.5
"893" -50.5 -16.5
"894" -49.5 -17.5
"895" -48.5 -17.5
"896" -49.5 -16.5
"897" -48.5 -16.5
"898" -47.5 -25.5
"899" -47.5 -24.5
"900" -46.5 -24.5
"901" -45.5 -24.5
"902" -47.5 -23.5
"903" -46.5 -23.5
"904" -47.5 -22.5
"905" -46.5 -22.5
"906" -45.5 -23.5
"907" -44.5 -23.5
"908" -45.5 -22.5
"909" -44.5 -22.5
"910" -47.5 -21.5
"911" -46.5 -21.5
"912" -47.5 -20.5
"913" -46.5 -20.5
"914" -45.5 -21.5
"915" -44.5 -21.5
"916" -45.5 -20.5
"917" -44.5 -20.5
"918" -43.5 -23.5
"919" -42.5 -23.5
"920" -43.5 -22.5
"921" -42.5 -22.5
"922" -41.5 -22.5
"923" -43.5 -21.5
"924" -42.5 -21.5
"925" -43.5 -20.5
"926" -42.5 -20.5
"927" -41.5 -21.5
"928" -40.5 -21.5
"929" -41.5 -20.5
"930" -40.5 -20.5
"931" -47.5 -19.5
"932" -46.5 -19.5
"933" -47.5 -18.5
"934" -46.5 -18.5
"935" -45.5 -19.5
"936" -44.5 -19.5
"937" -45.5 -18.5
"938" -44.5 -18.5
"939" -47.5 -17.5
"940" -46.5 -17.5
"941" -47.5 -16.5
"942" -46.5 -16.5
"943" -45.5 -17.5
"944" -44.5 -17.5
"945" -45.5 -16.5
"946" -44.5 -16.5
"947" -43.5 -19.5
"948" -42.5 -19.5
"949" -43.5 -18.5
"950" -42.5 -18.5
"951" -41.5 -19.5
"952" -40.5 -19.5
"953" -41.5 -18.5
"954" -40.5 -18.5
"955" -43.5 -17.5
"956" -42.5 -17.5
"957" -43.5 -16.5
"958" -42.5 -16.5
"959" -41.5 -17.5
"960" -40.5 -17.5
"961" -41.5 -16.5
"962" -40.5 -16.5
"963" -39.5 -20.5
"964" -39.5 -19.5
"965" -39.5 -18.5
"966" -39.5 -17.5
"967" -38.5 -17.5
"968" -39.5 -16.5
"969" -38.5 -16.5
"970" -63.5 -15.5
"971" -62.5 -15.5
"972" -63.5 -14.5
"973" -62.5 -14.5
"974" -61.5 -15.5
"975" -60.5 -15.5
"976" -61.5 -14.5
"977" -60.5 -14.5
"978" -63.5 -13.5
"979" -62.5 -13.5
"980" -63.5 -12.5
"981" -62.5 -12.5
"982" -61.5 -13.5
"983" -60.5 -13.5
